ios_path,category,status,android_path_or_note
beta-iumrah-app-main/Sources/App/IumrahAppDelegate.swift,App,pending,
beta-iumrah-app-main/Sources/App/IumrahBetaApp.swift,App,pending,
beta-iumrah-app-main/Sources/App/IumrahLaunchExperience.swift,App,pending,
beta-iumrah-app-main/Sources/AppShell/AccountNotificationsView.swift,AppShell,pending,
beta-iumrah-app-main/Sources/AppShell/AppChromeStore.swift,AppShell,pending,
beta-iumrah-app-main/Sources/AppShell/AppNavigationContainer.swift,AppShell,pending,
beta-iumrah-app-main/Sources/AppShell/AppSettingsStore.swift,AppShell,pending,
beta-iumrah-app-main/Sources/AppShell/IumrahAccountSecurityView.swift,AppShell,pending,
beta-iumrah-app-main/Sources/AppShell/IumrahAccountView.swift,AppShell,pending,
beta-iumrah-app-main/Sources/AppShell/IumrahEmailVerificationView.swift,AppShell,pending,
beta-iumrah-app-main/Sources/AppShell/IumrahPasswordRecoveryView.swift,AppShell,pending,
beta-iumrah-app-main/Sources/AppShell/ProfileSettingsView.swift,AppShell,pending,
beta-iumrah-app-main/Sources/AppShell/SidebarDrawerView.swift,AppShell,pending,
beta-iumrah-app-main/Sources/Core/AppConfig.swift,Core,ported-stage1,app/src/main/java/com/iumrah/beta/core/config/AppConfig.kt
beta-iumrah-app-main/Sources/Core/AppLocalization.swift,Core,pending,
beta-iumrah-app-main/Sources/Core/BookingDraftBuilder.swift,Core,pending,
beta-iumrah-app-main/Sources/Core/BookingItineraryPlanner.swift,Core,pending,
beta-iumrah-app-main/Sources/Core/BookingSessionVault.swift,Core,pending,
beta-iumrah-app-main/Sources/Core/Components/IumrahSiriOrb.swift,Core,pending,
beta-iumrah-app-main/Sources/Core/Components/IumrahSystemGlow.swift,Core,pending,
beta-iumrah-app-main/Sources/Core/DesignSystem.swift,Core,pending,
beta-iumrah-app-main/Sources/Core/FlowCopy.swift,Core,pending,
beta-iumrah-app-main/Sources/Core/IumrahAccountSecurityIdentity.swift,Core,ported-stage2,app/src/main/java/com/iumrah/beta/core/security/IumrahAccountDeviceIdentity.kt
beta-iumrah-app-main/Sources/Core/IumrahClientIdentity.swift,Core,ported-stage2,legacy identity intentionally absent; permanent iumrah ID account model preserved
beta-iumrah-app-main/Sources/Core/TripStayPlanner.swift,Core,ported-stage1,
beta-iumrah-app-main/Sources/FlightEngine/FlightBotChallengeCenter.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightBotDeviceAdapter.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightBotDeviceSessionPool.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightBotOrchestrator.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightBotProvider.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightBotRunner.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightBotScripts.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightChallengeSheet.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightChallengeWebView.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightDatePlanner.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightReferenceCatalog.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightSearchDiagnostics.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightSearchRequest.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/FlightTextParser.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/FlightEngine/RoundTripFlightBotCoordinator.swift,FlightEngine,pending,
beta-iumrah-app-main/Sources/HotelPricing/HotelLivePriceSearchService.swift,HotelPricing,pending,
beta-iumrah-app-main/Sources/HotelPricing/HotelPriceBotRunner.swift,HotelPricing,pending,
beta-iumrah-app-main/Sources/HotelPricing/HotelPriceBotScripts.swift,HotelPricing,pending,
beta-iumrah-app-main/Sources/HotelPricing/HotelPriceModels.swift,HotelPricing,pending,
beta-iumrah-app-main/Sources/HotelPricing/HotelPriceProvider.swift,HotelPricing,pending,
beta-iumrah-app-main/Sources/HotelPricing/HotelPriceTextParser.swift,HotelPricing,pending,
beta-iumrah-app-main/Sources/Models/AirportModels.swift,Models,pending,
beta-iumrah-app-main/Sources/Models/BookingModels.swift,Models,partial-stage2,account/trip decode subset in app/src/main/java/com/iumrah/beta/models/booking/BookingSharedModels.kt; booking creation/session models remain pending
beta-iumrah-app-main/Sources/Models/FlightModels.swift,Models,pending,
beta-iumrah-app-main/Sources/Models/GeneratorComponentModels.swift,Models,pending,
beta-iumrah-app-main/Sources/Models/HotelModels.swift,Models,pending,
